district,cumm_rainfall_2017,cumm_rainfall_2018,cumm_rainfall_2019,cumm_rainfall_2020,cumm_rainfall_2021
Adilabad,12758.9,20115.3,24628.1,13530.5,18562.1
Bhadradri-Kothagudem,18668.57,23789,31599.9,29401.6,17011.3
Hyderabad,9857.71,4772.8,9571,9460.1,8268.9
Jagtial,9116.81,23357.4,23084.6,12788.8,15930.3
Jangaon,5902.82,8446.8,10644.9,11293.3,9789.4
Jayashankar-Bhupalpally,14197.34,27677.5,17501.6,14493.5,8705.4
Jogulamba-Gadwal,4701.92,4549.7,4630.2,7433.3,4494
Kamareddy,15294.19,17927.7,25647.1,16875.5,19459.4
Karimnagar,7927.82,16705.9,18682.9,15955.9,13914.5
Khammam,13918.57,26686.2,19564.2,17636,15557.3
Kumuram Bheem - Asifabad,8424.48,16856.9,27311.1,13020.2,15852.9
Mahabubabad,10650.74,12861.3,15578,17233.1,13193.7
Mahabubnagar,10322.15,14480.4,9413.1,10432.6,8491.2
Mancherial,9715.35,19260.2,24915.9,15813.7,13925.6
Medak,9643.4,14219.7,19000.2,15051.9,14109.4
Medchal-Malkajgiri,8078.96,6170.4,9486.1,8412.6,8500.6
Mulug,13976.1,13976.1,19482.9,14942,7503.4
Nagarkurnool,5994.88,8845.1,10545.3,10863.6,7574.4
Nalgonda,11703.22,15063.8,16106.8,13536.4,16987.1
Narayanpet,12357.13333,11246.225,6985.9,7173.2,6166.3
Nirmal,11564.88,18919.7,22172,12275,19370.4
Nizamabad,14692.69,29976.7,39931.5,20473.7,28205.9
Peddapalli,6876.6,19432.6,18170.4,13693.7,9403.8
Rajanna-Siricilla,5768.41,11578.3,15280.8,11421.6,12090.2
Rangareddy,12366.54,15158.5,15441.1,15509.3,14950
Sangareddy,13728.56,11054.4,20005.5,15870.2,15875.6
Siddipet,10606.95,13162.7,20233.7,21469,21939.7
Suryapet,11354.21,13831.6,15251.6,13370.2,12849.8
Vikarabad,7186.2,10958,12702.6,12478.5,11777
Wanaparthy,5496.82,4269.4,8341.2,10406.9,6407.1
Warangal (R),9943.53,12028.9,19152.2,20914.9,14819.6
Warangal (U),5650.46,9889.3,13340.3,13826.6,10596.2
Yadadri-Bhongir,6187.19,7468,9426.9,9524.3,10919.5
